car_size,car_width,car_len,ramp_angle,front_bumper_length,wind_screen_x,wind_screen_z,side_mirrors_x,side_mirrors_z,rear_window_x,rear_window_z,trunklid_angle,trunklid_x,trunklid_z,diffusor_angle,car_green_house_angle,car_front_hood_angle,car_air_intake_angle,tires_diameter,tires_width
1.160999575836753506e+00,1.621943741045961396e-03,5.130241569082066855e-03,-1.782888669458133180e+00,-6.866904767375311969e-02,4.566784029968209979e-02,-3.913935967327195758e-02,-3.492551260150294351e-02,-2.154625940776020571e-02,-4.170702924047309246e-04,-4.403103459167079237e-02,2.784851730322225549e+00,-2.596667880414147561e-02,-3.497579977134079865e-02,7.842746242077728525e+00,6.810198063130039614e+00,2.434438056440237474e+00,-2.448593715266873971e+00,-1.060640508340559250e-02,-1.342701770705088254e-02
1.083745766072205630e+00,7.023477083927920361e-02,-6.053320099700476575e-02,8.650512233606306722e-01,-2.474315724196667066e-02,1.817612401610160799e-02,4.194350681542979853e-02,4.762576030112183889e-02,3.763676806935747909e-03,-4.336106360740900334e-02,2.805515260076103801e-02,-2.228816964664211753e+00,-3.203354738934788282e-02,-8.403004780710099375e-03,-4.993760645277015797e+00,6.293130419828560917e-01,4.187993131716538642e-01,-6.270787012385186543e+00,-5.382664620901362988e-03,-9.023691826157866427e-03
8.260033170466823949e-01,-1.585045784525503099e-02,2.670106420365414568e-02,-4.259464630020683984e+00,9.934459788350843978e-02,-2.058470341788689803e-02,1.745438172632404750e-02,1.570311016685721484e-02,3.766470910624128421e-02,-9.886712736296800197e-03,-3.345801164265103933e-03,-1.331166781626425433e+00,4.279724076168818503e-02,9.173779876093010599e-03,6.324741192812540547e+00,7.698892873106384371e-01,1.618683068338544473e+00,-7.182944387242979900e+00,1.313029357164881283e-03,2.578452809736404838e-03
8.796309379750254509e-01,4.601420673545267293e-02,1.592695131113670837e-02,3.273751494873240020e+00,6.348521839222096008e-02,-2.315007530888239101e-02,4.073319931658563042e-02,3.331666643384104121e-02,-1.306065239821898455e-02,-5.644187186580662541e-03,1.404186979301111360e-02,2.323975847395107763e+00,2.809372685152092264e-02,2.678776930914185395e-02,-2.298060313762691820e+00,1.776427483173884880e+00,2.059856664911164259e+00,4.613092852693634782e+00,-5.075463963600569672e-03,7.430138655727565322e-03
9.658912492466660282e-01,6.070310793325128795e-02,-7.319602197678365396e-02,6.530207977279721021e+00,-7.816154700770946984e-03,-4.605007630347767583e-02,2.187913703840327351e-02,4.901289251526269597e-02,-4.774295288242791369e-02,3.679846928464369782e-02,3.135015952003321338e-02,-4.160432225769259418e+00,-4.673944087083029691e-02,4.049136947981944734e-03,-7.022200892067418820e+00,-4.495990082635179519e+00,-7.920269523036735038e+00,-5.712851206637745705e+00,1.281035870626622171e-02,6.684666477599354728e-03
1.195256620188888785e+00,5.009924902641854638e-02,6.623787736581296381e-02,6.333533878558395003e-01,7.943089437797126728e-02,-1.956924950440335279e-02,5.341415774943701622e-03,-4.643113365005213655e-02,-2.213097477750240044e-02,2.446432337763769505e-02,-3.049421452496129531e-02,2.471019030262588956e-02,-4.655944146209058110e-02,-3.782689989145385928e-02,1.472010105363548149e-01,6.100147506956194121e+00,-1.969541762210825553e+00,-5.725474904524475050e+00,8.630016887307084480e-03,1.456260362822640875e-02
1.197623928629846013e+00,9.352970951444580794e-02,-2.566311032682877524e-02,6.764786082967265912e+00,-2.403917736035368624e-02,-4.914693627294043632e-02,-4.426074746501262869e-02,-3.400455879175627583e-02,-5.043622839448591577e-03,2.652344193569573794e-02,-4.415080978092755792e-02,3.304714028478906940e+00,2.146031116499061420e-02,2.240245722543512952e-03,3.438732189432609943e+00,-1.106830944332619637e+00,3.133797065358930212e+00,-2.598948873854650898e+00,5.077902080768281409e-03,6.172295062377305963e-03
9.166242779733672075e-01,2.504848132919765269e-02,9.817764653202590286e-02,3.947909016998105258e+00,-2.312577850240842003e-02,2.958829921797634377e-03,1.749387840578466025e-03,-2.635725632154353390e-02,2.979261575933472850e-02,-3.317458385218612082e-02,2.598519922228563483e-02,-5.860532443890001275e+00,-6.269916172201538129e-03,-1.823008866169295583e-02,4.472911756297007102e+00,4.397230105166963554e+00,-4.764958957457400501e+00,-6.127357167660967718e+00,1.280340808095137284e-03,-7.066055860118712270e-03
8.544769370918543494e-01,-4.995355667805767563e-02,-5.090227147758046716e-02,-2.911085023701248886e+00,1.924111962634422746e-03,-3.238631099530160651e-02,7.815803260525736040e-03,-2.595992292836654322e-02,-3.159259793077345835e-02,-1.869591176199190269e-02,-4.907250829880707710e-02,-2.673022612779922369e+00,-3.504611534050876970e-02,4.054756677005995347e-02,-9.946985390817388861e-01,6.492329812429446179e+00,7.564092278544691794e-01,-6.921949233156739822e+00,1.970869354893571221e-03,-4.843467427736263681e-03
9.571472950334612984e-01,8.527654797953376775e-02,-1.770232939992408272e-02,-4.781961488284949269e-01,4.748331120456891763e-02,-7.605350460039426996e-03,-4.897438740456597911e-02,-4.102663790310683706e-02,-3.760556208020992414e-02,3.669523939022356629e-02,2.825203864212567917e-02,5.690102744852172378e-01,-4.963851071081139266e-03,3.205260981333844794e-02,-1.139182514503481514e+00,2.232552670926711613e+00,-7.888516106602979860e+00,6.774056425031941941e+00,-8.550869163652606228e-03,-4.521176011861634952e-04
